filename;rms_mean;rms_std;zcr_mean;zcr_std;tempo;n_beats;spectral_centroid_mean;spectral_centroid_std;spectral_rolloff_mean;mfcc_1_mean;mfcc_1_std;mfcc_2_mean;mfcc_2_std;mfcc_3_mean;mfcc_3_std;mfcc_4_mean;mfcc_4_std;mfcc_5_mean;mfcc_5_std;mfcc_6_mean;mfcc_6_std;mfcc_7_mean;mfcc_7_std;mfcc_8_mean;mfcc_8_std;mfcc_9_mean;mfcc_9_std;mfcc_10_mean;mfcc_10_std;mfcc_11_mean;mfcc_11_std;mfcc_12_mean;mfcc_12_std;mfcc_13_mean;mfcc_13_std;chroma_stft_mean;chroma_stft_std
Cozy Repvblik-Hitam Putih.mp3;24982148;10831593;6,93E+15;4,34E+15;[99.38401442];312;2,15E+16;8,17E+15;5,20E+15;-10129698;11696177;8899656;3006977;2411852;213624;25479307;17448458;6672069;17432678;71803017;11453374;76716237;12336051;7852649;10310353;-2181887;11672951;14352969;1260042;36154398;8586468;36190999;8170877;-20015347;7247173;34389493;299343
Ebiet G Ade-Untuk Kita Renungkan.mp3;92029504;45406885;8,33E+15;4,89E+15;[135.99917763];683;2,03E+16;7,06E+15;4,44E+15;-16298305;74793564;10083778;26615332;7648783;21690128;27604153;15058252;7403111;12887759;38718393;10844978;24939651;10095861;2284608;1088212;-13387292;13312085;76125407;13068897;-13689831;9762315;16901538;8621844;-10719326;8764168;30931005;29289046
If You’re Gone.mp3;2150315;90587385;7,13E+15;4,05E+16;[112.34714674];464;1,68E+16;7,41E+15;3,50E+16;-8809396;10765119;12274003;3586642;74269567;19810429;26662483;15316338;8321622;12734073;10084244;9911256;-25552387;8991973;4057607;9130489;-4620596;7620601;31130934;7922591;-52622156;7538956;-1916937;8357921;-7203843;7498791;3370726;29087007
Rick Price - Heaven Knows.mp3;11014557;5103461;7,22E+15;5,80E+15;[161.49902344];674;1,79E+16;8,18E+15;3,75E+16;-19243869;8389432;100051285;33512695;8853436;20514019;3270364;1756772;10691485;1739815;8691639;12158729;-17453699;12182907;75373144;103270235;-6747438;103356495;16772791;11400183;-43287067;9454972;-33901566;9574829;-11320423;8393549;27826053;30882928
The Rock - Selir Hati.mp3;22028466;83727285;1,08E+16;5,00E+14;[83.35433468];234;2,42E+15;7,00E+15;5,35E+15;-31185175;9169254;8973997;27763409;1833555;19308556;2229637;12164645;5408487;8341675;8205013;9030564;2233047;76416755;36086097;73313284;-20319138;73069863;5771219;8172161;-2036721;7581167;30177832;6542611;-30757132;64599977;39873677;28680232
Shahrukh Khan - Chaiyya Chaiyya000.mp3;9439227;55580143;9,81E+14;6,85E+15;[89.10290948];392;2,51E+16;1,03E+14;5,77E+15;-17340422;98100945;86835625;29581642;31218445;22867998;17245539;18229034;51384583;12286193;81972065;12127889;11115419;11268257;13904064;9429878;-20605524;8525119;4861766;876809;-18486849;8238078;13414292;77815237;-9071933;862354;37703615;30945203
Best Song Reuest.mp3;1687524;4690135;1,14E+16;5,62E+15;[95.703125];479;2,69E+15;7,75E+15;6,01E+14;-569656;58142426;8096486;25436512;79481063;16036175;15351391;14039508;-48695472;10363771;16283475;9491683;16071012;9831522;16959943;1073345;-74011993;9707859;45623336;8990561;-19349728;9347727;42937236;7930249;-16270936;8181042;38706926;29186544
Rege-Serenad.mp3;18253016;7300357;1,01E+16;6,80E+15;[172.265625];642;2,66E+15;9,11E+15;6,18E+16;-9624957;8523497;7370663;27039856;14632806;20625383;13263709;20711872;15107819;1815947;12366659;14422546;19886632;12411652;7159234;1222806;19206321;11950721;58588314;13882284;2567999;10067774;4008564;8738476;-19557934;86552105;350366;30225015
Iwan Fals-Ijinkan Aku Menyayangimu.mp3;161602;8898586;5,45E+15;3,69E+15;[135.99917763];483;1,39E+15;5,83E+15;2,85E+16;-14712666;85631454;13401105;25414917;-9134529;16220936;3427451;15122683;25456557;11750313;8257176;9478141;9212307;10726562;-78493123;884516;2597734;10422759;-16093004;79479675;-31876855;10535452;-8674853;8762785;-10478555;101661825;34427807;29265735
Disturbed - Mistress.mp3;20507193;72205745;1,40E+16;5,48E+15;[95.703125];326;2,56E+16;6,68E+15;4,98E+15;-25615616;8601819;7907922;32201023;-2739318;18801949;3647868;175067;-47556353;10178842;1548576;8834446;13141282;8525674;73848276;8384547;48170605;8798536;6528797;7670446;-23191085;642488;9841211;7175553;-2898453;6566231;44119704;29688835
Greenday - I walk Alone.mp3;40762284;102646954;1,06E+16;4,83E+15;[83.35433468];275;2,31E+15;7,06E+15;4,82E+15;31545856;7216442;9239464;32559612;-14906795;18552776;3319642;11687098;47134624;9742639;14429886;7325276;-34917897;77160497;78764915;72275066;14608839;67905836;53451695;67530384;-2745485;63652053;62984066;60643597;-35741653;59571214;41471034;28565112
Ungu-Seperti Yang Dulu.mp3;21047862;9870281;7,30E+15;4,04E+16;[172.265625];712;2,04E+16;8,31E+15;4,86E+15;-10302879;12265024;9637601;33104176;25427137;1984379;2162157;1520691;5432991;9642325;19706776;10375628;6942381;8476671;2804287;10151161;-51015167;8814146;1046442;10173813;-63281565;8725213;52809995;812853;-20960536;76095;3342127;29490668
Syahrini - Kau Yang Memilih Aku - www.stafaband.info.mp3;24744792;8429092;1,04E+16;5,98E+15;[123.046875];531;2,34E+16;7,49E+15;4,86E+15;-47269794;77413895;9457342;29953115;-590433;20634768;13346188;15094874;5319944;10596693;-15038987;134140005;42917156;109181185;-15128961;1146327;-72098106;97281275;43664136;9780383;-9128158;9684343;-6024993;8289457;-72212386;9705518;2673963;30066323
misshacker.com_Brian_Adams_-_Back_to_You.mp3;25456753;50630365;1,05E+16;3,26E+15;[123.046875];544;2,46E+15;4,68E+16;5,59E+15;21374447;33849823;8944475;16007158;17123216;1497934;16231121;10868383;5379297;9297755;12887151;70154085;-32047975;69549165;5232773;64668713;13502446;63705106;35496113;61846676;-4891364;6041246;-8006389;63004913;-17025131;5956394;379677;28129467
Disturbed - Down With The Sickness.mp3;16947146;50678972;1,62E+14;7,79E+14;[92.28515625];384;2,64E+16;7,84E+15;4,88E+15;-60501007;10670087;698235;31255579;-33607117;22775864;58956253;18847271;3471629;1235408;18078005;9496879;28399649;11528119;12529232;84365;613968;10144708;5480313;8074939;33064783;8308525;6113889;66030183;-695232;69258394;5562712;26246405
Linkin Park - Crawling.mp3;2298625;119145535;8,26E+15;4,04E+15;[103.359375];522;1,82E+15;6,13E+15;3,68E+16;-7660674;10026002;11244226;29811386;-20313965;24274212;2900283;1580386;57940596;14017547;17319952;151061735;-31132777;11487266;60897202;118748045;-17708386;10186269;34693558;11305851;-30215456;8959301;9440835;9267408;-4662332;9047825;34302926;28990716
Mahadewi-Satu Satunya Cinta.mp3;26343215;7625349;8,15E+15;4,04E+15;[123.046875];400;2,03E+16;7,74E+15;4,41E+15;-53771545;9581226;108961815;3285679;15402561;23632698;16453585;16085936;55663176;10254697;706357;108934965;11321971;10088282;-5398947;8922574;6841361;8316737;39934783;9226884;-48502645;7786891;-21762247;77802386;-4776764;8538359;31494477;28939646
Papinka-Masih Mencintainya.mp3;18909062;9845456;6,90E+15;4,70E+15;[95.703125];407;1,79E+15;7,15E+15;3,81E+16;-13494328;9940978;104254715;26762335;7375425;18499493;1995238;17183062;32961311;12279215;5298778;11938204;-28345194;10137342;16430535;11923434;-5734136;10530622;81534564;10963417;-33358037;11995394;6383911;9683961;-48880143;10229546;24159257;29934835
Major Lazer - Pon De Floor (ft.mp3;29041258;14770414;8,54E+14;8,77E+15;[129.19921875];456;2,04E+16;1,08E+16;4,33E+15;-7961384;11746004;9410128;4542827;-9572478;24368687;22534592;2015392;65400486;19304565;14389163;1672037;6731388;18254698;12434295;15649522;4240772;17201889;45808268;12747409;-44116015;10520692;4539642;11212454;-10445118;9263184;43164846;29485577
Keke-Ga Pake Lama.mp3;2038848;732237;9,24E+14;4,87E+14;[151.99908088];544;2,27E+16;8,93E+15;5,12E+16;-76089615;82697685;93851616;36778347;15268249;19642618;22388855;14287376;19201134;11122939;7607788;10711049;-2257612;8653168;22003195;85095215;-1241421;9293879;7343374;9980762;-2338428;9873402;34030252;8126617;-36065207;9114382;32111338;28911865
D'Bagindas-C.I.N.T.A.mp3;11408106;56872368;5,75E+16;3,73E+15;[117.45383523];457;1,53E+16;7,12E+15;3,11E+14;-20091214;8855364;12123665;32524048;13131692;19065977;14986211;1886751;36030626;14483603;53496876;10288572;-67682896;10865476;59593725;10769515;-15522157;12186857;3766655;11272103;-4309654;987373;-6315903;9539419;-49043446;9530226;25690192;30442038
Keke - Cape Dech.mp3;25325254;7984282;9,54E+15;4,14E+15;[92.28515625];342;2,28E+15;7,68E+15;5,07E+15;-52574047;66906265;9039001;29109278;10705329;20882103;14383501;18050386;25800436;15383386;8362314;16343239;-2069646;12986377;76789613;12361059;2024484;10802576;644492;14870943;-23036826;13548559;3398845;1191456;-56488724;9687838;31628183;29224187
korean drama - my sassy girl - ja jang ga (lullaby).mp3;6847114;3771789;3,97E+16;1,04E+15;[143.5546875];452;7,37E+15;2,32E+16;1,06E+14;-3154123;59400776;17004662;26745884;28931627;18831873;13554073;1009204;69942846;8846436;-16210676;73261924;-853498;760115;-9496086;7441339;-9288799;66127424;-5445942;70824623;-6115406;8078099;-27834506;8043792;-60638685;8386017;2165703;289084
Lyla - Jangan Datang Lagi.mp3;21630841;8305507;8,71E+15;4,97E+15;[135.99917763];583;2,09E+16;6,10E+15;4,48E+15;-561548;8914762;9925836;24297653;-7584668;17892284;22155472;11933239;13343737;9259447;6331365;7975322;-17265595;78345537;11174453;77151947;-46109166;7148429;38520923;6571647;18896785;79358974;17599428;62091126;-285057;66780586;36017114;2933105
Agnes Monica - Cinta di ujung jalan.mp3;19699478;11716303;5,91E+15;3,69E+15;[143.5546875];682;1,71E+16;7,17E+14;3,71E+15;-14115562;11713224;106885506;2747023;19191645;217254;2829298;17688192;126605215;1148891;8489845;11849666;79039435;11969912;-36234794;12079206;605277;8246634;2820592;9219952;-6348654;9513809;35022667;9513035;-4561707;1052293;29067114;3068233
Black Dog_LedZeppelin.mp3;11571743;53629186;1,26E+16;5,45E+16;[161.49902344];773;2,31E+16;6,99E+15;4,57E+15;-1038872;10888326;9585638;33591434;-2173655;2289828;15226118;13914017;-848028;12123369;10637897;9258251;-36669405;11185601;32815962;8248939;-67620234;9089701;8542515;79636097;-47440953;79226513;-13236738;6714019;-42646236;8126663;3761512;29443198
sammy simorangkir - kaulah segalanya.mp3;21305317;118226565;8,00E+13;4,30E+16;[129.19921875];624;1,89E+15;6,91E+15;3,93E+15;-10125532;120406235;104477036;31481602;4056184;24073078;29644417;18405642;19507214;13651621;4813595;11363432;-48762414;10096408;1009491;10639437;-8496747;9619207;44189926;861305;-16363801;10432347;-40285006;9241788;-2468093;7690128;2968642;29800725
DJ Antoine - Show Me Love.mp3;20361502;10551412;1,44E+15;1,06E+16;[129.19921875];654;3,08E+16;1,08E+15;6,57E+15;-9464974;8636754;52575638;36861637;20234932;30828226;26579813;19060232;6914557;16056236;9800379;16006247;-16232083;14435045;58619576;12002359;-45497966;1106626;1756867;10024263;-39409213;10409947;9399216;9838131;6514582;10018282;3589469;3158573
preview(1).mp3;2812789;9176875;8,53E+15;5,33E+15;[103.359375];342;2,25E+16;8,59E+15;5,00E+15;-6162295;957169;8559717;30093325;15013256;22163952;21196125;16497976;9957618;13828549;11470379;11668767;2599272;9360154;8831854;85146475;-22300835;9129843;62809362;8431223;19004982;84610405;67100306;8939625;6663497;75387216;30700728;29824924
Padi - Seperti Kekasihku.mp3;23969269;82508355;9,61E+15;5,27E+14;[92.28515625];401;2,28E+15;7,72E+15;5,12E+15;-41828007;9764716;9501309;27348822;40991898;2071832;19193727;14682321;10952953;10699108;9579037;10082678;5384232;8488751;4311016;8301207;-29359582;7477271;39002993;7964274;-123367;7509905;4745239;7918678;-2952342;6908882;3627577;29593292
iMeyMey - Disitu Kadang Saya Merasa Sedih.mp3;23281358;8019367;1,17E+14;8,09E+15;[129.19921875];428;2,96E+15;8,95E+15;6,89E+15;-4625919;7546458;7100579;24806328;2263979;18586554;1779295;15517087;10554245;12710787;5388695;100645685;10882212;9457987;15748903;10082802;-11808957;9459795;59484363;8485396;-2203172;8526932;43145976;79676023;-23396232;83082075;36651826;28878838
Warkop DKI Nasib Orang.mp3;106913984;19624395;1,85E+16;7,79E+15;[73.828125];163;2,64E+15;6,13E+15;5,32E+15;-10638091;36915176;11486986;21780396;-5926205;16376139;68627655;12933702;-3260529;12327817;5278699;10723212;-37771164;11356629;3749398;81311;-15838786;10087728;-2740211;8463707;10659268;8656304;-13096064;9609173;4558901;8614349;4327282;280021
Justin Bieber- NEVER LET YOU GO .mp3;20642385;86040616;9,02E+14;4,67E+14;[103.359375];449;1,80E+16;5,77E+15;3,82E+15;-976557;7551388;123641014;32521603;-437376;23848845;59834515;19171635;-22412596;13040747;29053389;16258257;-8071923;136276455;15930802;14190179;14331824;12266534;7980919;110882845;2888672;10693992;11257145;10131726;-18957527;9453863;39864415;29865387
HAI LAII 03 & EX2.mp3;27797446;98189816;1,29E+15;8,97E+15;[92.28515625];247;3,10E+16;9,41E+15;6,84E+15;-37803383;6501063;5561837;27929033;3162634;24192438;3414199;19220655;4224613;14733849;12671736;11637307;8679576;11740888;77574315;9447634;-40365005;9242917;7837497;10179813;-1080389;7529304;64016933;71606503;-1016373;8045766;52099395;27667964
Love.mp3;19564356;69578454;6,56E+15;5,29E+15;[112.34714674];336;2,00E+16;8,72E+14;4,77E+14;-120855835;8977224;9162681;3429247;21363865;18345009;2931761;16563818;24067361;13458958;1616722;10895244;-9327409;10467898;6100743;1025989;-5026837;10233862;30919971;102345915;-8618475;9047452;-58735623;8317294;-34064841;871472;31941742;30733335
Benyamin S - Hujan Gerimis.mp3;19904366;65744765;5,92E+16;4,76E+16;[117.45383523];242;1,32E+16;8,32E+14;2,59E+16;-13483145;8378852;15619836;47855057;7365915;20858675;13472778;14688579;6763874;13103015;10097839;11717115;-30625007;10969424;-1842856;10274038;-18846136;9312392;-10161855;8621515;-35110939;8443902;-15770481;7888441;-50972915;8663176;29174742;29566061
Keke-CuMi Cuma Minjem.mp3;25060096;83884925;1,08E+16;5,72E+15;[89.10290948];276;2,63E+16;8,33E+15;6,00E+15;-3006433;7254598;834267;2924143;12235984;15987475;11581297;12947567;-18301923;11677821;6313085;10033377;10780449;99230995;71848335;10190455;-20995533;8821837;6296522;826807;-2944331;74410257;20752661;7703214;-5424444;71516213;35884896;2929796
Disturbed - Intoxication.mp3;25003463;6564595;1,59E+16;4,60E+15;[99.38401442];316;2,77E+16;5,51E+15;5,32E+15;6612795;8852414;6463668;18822578;-23545654;15335719;3715744;15869501;10725656;9275488;18960478;897458;34586182;10295735;8348962;8594187;8060354;7683777;74522;7293847;-1243515;63863482;11124866;60989127;-28819115;64612975;51100415;2765029
Disturbed - Liberate.mp3;23817988;6969037;1,51E+16;5,35E+16;[123.046875];424;2,72E+16;6,35E+15;5,30E+15;-29452685;8720554;6833316;23842415;-2100693;15120777;3554566;15906307;-5402225;9152491;17044373;9428599;38970501;9224494;8050208;89616995;61106944;8428377;6669937;7819613;9004571;66872544;11854216;6381498;-31923208;60037417;5284664;27445996
Ada Cinta.mp3;15925013;5530378;8,17E+15;4,27E+16;[112.34714674];515;1,84E+16;7,07E+15;3,76E+16;-11934317;80453575;117909836;3074468;-4304515;21755085;14952865;15110535;16138916;10828294;-2770673;10163506;-65904117;10097268;-4035768;12282524;-53045325;11764578;39932795;11321171;-10221754;10350523;-28570807;10238446;-7376639;992712;2665123;29352084
Ari_Lasso_-_Kisah_Kita_[www.linedownload.com].mp3;15611133;8278504;9,86E+15;6,17E+16;[161.49902344];474;2,44E+16;7,98E+15;5,70E+15;-1078252;11601626;87400986;25196074;8110219;19138206;10219934;16742132;9926039;11568476;29829617;10302825;-19516978;11036899;4435476;10134334;-975915;11430558;26522908;11648599;-9078863;917424;-4886848;100966215;-8627155;9036926;32678312;29686156
Crazy.mp3;19833948;54385174;1,48E+16;7,56E+15;[135.99917763];493;3,01E+15;9,38E+15;6,39E+15;-3325062;9461945;6645907;29728363;10889534;20987167;27622929;17077063;3520998;12685247;9637997;10603685;4373785;9565489;42962976;8460167;-26023088;8571929;26096597;6833995;-20605586;72409143;6444728;7687181;-4399896;69070296;43035907;28786027
Ello_Ipang_Berrry_St_Loco_Lalabukasemangatbaru.mp3;17069717;90979286;1,00E+16;6,44E+15;[89.10290948];325;2,28E+14;8,08E+14;4,74E+15;-11423639;11923736;874678;3318601;-54978595;22109665;13214897;17526947;-72502726;1405143;7641853;14031651;39342957;1165016;702291;11001397;-39170923;10808887;2898748;12269293;-29938211;10483909;24786327;9883738;15958147;9138417;3439432;30839422
Korean - Full House O.S.T - I Think I.mp3;19232064;11109132;7,62E+15;5,94E+15;[184.5703125];669;2,20E+16;1,08E+16;5,11E+15;-14841066;125867546;9477898;3714695;30349983;2446245;12670478;21143871;10646783;16983871;-44922705;15498146;34880834;15025811;-4651434;14600494;-8256365;13444399;17008796;13639279;-14950203;12962238;19661596;1144209;-58324547;10150266;32032895;30558628
Kangen Band - Tiba Waktunya.mp3;19788755;8632201;8,02E+15;4,77E+16;[69.83741554];282;2,26E+15;6,76E+14;5,05E+15;-9460172;8195608;9033842;22990007;-1423402;17688232;26652557;20942295;15782697;11323758;13383296;10651317;4673928;10236477;37729702;9861575;-40956287;10451739;33440785;9408115;-7100455;10315939;7669229;9195788;-10307423;9209808;29174545;29933915
Tere-Awal Yang Indah.mp3;22810972;698791;1,04E+16;4,08E+14;[107.66601562];443;2,53E+15;5,59E+15;5,56E+15;-41849266;75375046;7723272;20462454;5204167;15969858;38016464;150244;67061896;8885446;54227924;10171465;7204731;809566;60347567;9855978;20717578;79730225;71717815;8599673;-9023177;816803;-15008124;7946243;-972684;78961196;3608885;2904739
uje - sepohon kayu.mp3;29869652;10570887;6,48E+14;3,95E+15;[89.10290948];376;1,61E+16;6,74E+15;3,04E+15;-7083857;7692382;12531392;29475;10441798;19800652;45106955;14796764;8811628;12963703;10215929;10357354;47739787;8896474;6664701;8586647;-22058647;8414923;-11037159;9433185;-3800366;9684006;-39475393;8206372;-8078315;829715;31290326;29840088
Luise Najib - Cobalah Untuk Setia.mp3;14417747;7813397;8,23E+14;6,11E+15;[123.046875];524;1,67E+16;8,83E+15;3,15E+14;-15538116;10655868;13513435;4334243;-9038896;22519646;-83058023;157602005;12235658;10393964;-6540052;14016992;48563433;11114835;-27079008;11717167;-10185067;11409112;7751785;12466339;-14750616;12157079;-49511683;819629;-60579276;9777363;2760849;30345932
Pinkan Mambo - Simpananmu.mp3;19986956;9340074;8,52E+15;4,69E+15;[129.19921875];577;1,97E+16;6,66E+15;4,09E+16;-9867076;8988088;10483035;26835299;-4819322;1969663;22449995;1715695;9469902;10553979;34281502;10999951;28318853;9780088;-2302673;9417338;-354149;9791956;60043464;94050665;-8307205;96549635;24499972;8469067;-4133424;9001116;2888657;2980576
Arkarna - So Little Time.mp3;18782862;80841064;1,16E+16;6,79E+15;[112.34714674];457;2,82E+15;8,89E+15;6,25E+15;-7096891;9747079;7061039;3031593;13640359;21678768;32602657;1460375;58993416;123578005;3253877;11147356;28883862;9508424;11746157;77903337;-58606434;77742167;70702085;806435;34194643;7534819;28747478;69934964;-40157948;6811897;4357368;29306197
when_i_need_you.mp3;12249802;6338517;6,90E+14;4,84E+15;[117.45383523];542;1,87E+16;8,34E+15;4,03E+16;-16669649;1191219;1024042;30594898;20235394;26471382;26269;22604202;7957491;15586808;9348483;13053292;2097942;11499751;28382246;9192584;-87342596;9234883;27218552;10383001;-20379932;9993174;-6687316;8932473;-42315536;9383356;3536107;2980483
MAHADEWA - Cinta Itu Buta.mp3;22141343;50639894;2,69E+15;9,72E+15;[112.34714674];557;4,16E+15;7,61E+15;8,28E+15;1423146;48084965;4312646;21392138;10044348;13182464;11054614;15218088;6584138;92009325;12257261;9218691;-6066399;8116495;7407843;7470453;-59060802;75042815;7090545;7970581;-9821627;71282516;28067908;73660183;-74140797;6094792;41927433;28443056
Lyla_-_Yang_Tak_Terlupakan_-_04_-_Mantan_Kekasih.mp3;24465294;9558004;8,56E+15;3,68E+16;[123.046875];369;1,97E+16;6,87E+15;4,27E+16;-63557793;10336315;10248952;30600023;14264642;21218525;31911665;20109303;1334448;12577786;21738126;1012137;-6058014;10266679;69259286;90752735;14276052;9697031;9120315;87050085;-4734219;85767765;-6050441;8057143;-30280292;76125183;336387;2939698
Glenn Fredly - Malaikat Juga Tahu.mp3;12477756;5591147;8,32E+15;6,80E+15;[129.19921875];630;2,02E+16;8,45E+15;4,08E+16;-14762433;86941734;1060155;38697742;-9820388;2037339;20111927;1576048;46409855;1308878;59277005;10102888;-8498182;9345796;-3067912;9820383;-8787268;10670822;-18245849;10462795;-9587911;9269448;-88606615;10109771;-3469641;89180975;28011894;30560118
Avenged sevenfold-size the day.mp3;2372552;44146918;1,35E+15;5,48E+16;[143.5546875];701;2,66E+15;6,45E+15;5,41E+15;2715412;4501089;7695008;20667583;-14422361;17428967;28524544;12950769;8026207;10133428;69123087;8198353;-23461975;7509429;8778389;7781385;-15566996;8219694;309829;71712327;-34566877;7123124;4342527;6929323;-346204;68217626;3735134;28313297
Payphone-feat-Wiz-Khalifa.mp3;2402209;107313216;1,13E+16;5,92E+14;[112.34714674];413;2,71E+16;8,12E+15;5,83E+15;-44578865;90021065;71842026;30240953;2407936;19531479;19679863;17417242;1267141;14100999;11439105;12369216;-14988576;10863993;9289595;9569972;-8947051;10106342;45082006;9193233;11292753;8875551;4322373;9876159;47114854;9013891;38376498;3000095
Godbless-Semut Hitam.mp3;17275281;5315867;9,72E+14;3,34E+16;[129.19921875];640;1,91E+16;4,55E+16;3,73E+16;-63807354;56450203;11843866;23847977;-34258858;22900404;17988148;14886554;-16875039;13849094;9743353;10859803;-25945532;97446165;13797872;9325986;-45025544;9024428;59070325;855617;-60673237;802718;23873203;69914284;-51350904;69718328;38935196;2860309
Padi - Mahadewi.mp3;2649495;706292;9,70E+15;4,38E+15;[117.45383523];425;2,14E+16;6,89E+15;4,50E+16;-2932504;10122082;10151665;28646952;-8512851;1948872;20254038;16038198;11633012;10768399;24671834;9379002;53402224;9651145;7039211;7554877;-2854812;78552995;18811631;77009964;-37399085;6522617;8298648;7187617;-10249112;65851083;36010695;29473352
iMeyMey - Gue Mah Gitu Orangnya.mp3;24525358;8466905;9,93E+14;6,05E+16;[129.19921875];422;2,71E+15;7,48E+15;6,36E+15;-39135963;75287315;7713315;23198782;1668975;21050915;14239507;13828711;8396651;11821031;7331624;10346304;83494043;9461225;8162963;8872511;-29685342;8884812;4773833;8070547;-33217294;77603707;18248987;71436763;-4924694;66861916;37990317;29365033
New House 3.mp3;22102198;7386342;1,21E+16;6,88E+15;[129.19921875];645;2,82E+14;7,62E+15;6,46E+15;-32041412;7315769;7777512;28337366;17257223;26168486;14285662;16919868;1711227;136292305;13127828;11193662;2146713;9875282;49628005;9815218;-4198941;8142795;14756794;79708686;-61043916;73019085;15773132;68379703;-4533727;5911883;44004208;29372168
Padi - Begitu Indah.mp3;27056813;6882499;1,01E+15;3,57E+15;[86.1328125];343;2,15E+16;5,75E+15;4,45E+15;-15709565;8239147;9939622;23637007;-13447377;19217518;31018213;16454565;9284307;11665102;42594976;8263622;32088492;7664325;2269411;8534311;4091097;75444846;46877823;9402906;-51183164;74446373;87581625;68082323;-21189134;6430496;38037443;2878506
Maroon 5 - Animals.mp3;29435563;10793322;7,91E+15;4,86E+16;[95.703125];355;2,45E+16;7,65E+15;5,38E+15;-48535236;8759839;72607605;27379526;58730975;21904135;28834343;15995113;4992666;1171053;1349159;10306633;18394616;8663468;8951498;8097605;28318386;76546307;8268073;8667695;28748739;8443725;4798469;9055713;18442651;76432424;4397172;30152458
Full House OST Cheo Eum Keu Cha Ri E.MP3;19470789;7349703;7,83E+15;4,66E+16;[69.83741554];260;2,10E+16;8,68E+15;4,95E+15;-111455956;10495765;10037483;3558177;28045874;201344;22881336;1457818;6259;12607171;12902741;13620877;4316443;12662467;-23033981;12169613;-9015069;11254831;12140173;15396886;-18314686;13113079;23786387;10096026;-8569136;10324484;3214356;29686955
Lenka - Trouble Is A Friend.mp3;2908048;10678194;8,99E+15;5,90E+16;[117.45383523];397;2,23E+16;9,43E+15;4,93E+15;-51668938;10508787;9406005;33233387;67875233;21439817;12662943;1659576;8914164;10991135;10950117;12127935;48048987;9116162;46156893;888353;15412097;8446208;5138443;8803956;-28627902;8109104;33016481;7437951;66448975;75224323;30336538;30183944
rude - magic!.mp3;23716582;10076668;1,06E+16;7,23E+15;[143.5546875];525;2,45E+16;8,84E+15;5,17E+16;-5718682;8490425;84252144;31353207;-8492242;2338884;21230042;1626694;10246438;13600463;5664766;12866006;-22678583;1192003;61374197;11284472;-6220638;11628676;1004412;10522407;-8371052;11143666;67432685;8248308;-36422796;9033568;3821216;30384314
Shae - Tetaplah Tersenyum.mp3;19875248;55743545;1,05E+16;3,80E+15;[151.99908088];521;2,22E+15;5,69E+15;4,72E+15;-6675047;776374;9762521;25675997;16631874;17432129;3578612;16639343;-1962304;12186707;9190231;12263238;11338275;11054992;-6412708;9185974;-21448314;86996;66173506;9282137;-10880884;8404156;109439;778182;4534065;8000482;29763037;2900625
Iwan Fals-Yang Terlupakan.mp3;13856038;56097206;1,21E+16;7,34E+15;[129.19921875];620;2,71E+14;8,43E+15;5,82E+15;-9684286;8611202;7437528;27692663;80214815;15530655;26219246;12913325;6389414;11068729;32888124;9965125;-26815357;10230913;37984254;9785187;-3852478;9462031;31576276;82715025;-53525443;8349505;-1171172;8295621;-66929703;8320949;31889245;30023202
JKT48 - Boku No Taiyou.mp3;18875128;52153602;1,55E+16;5,17E+15;[135.99917763];648;3,07E+15;6,76E+15;6,39E+15;-26690758;90069244;55490902;2053353;-93201435;14883703;3226882;15001683;6995835;8838407;3580596;9702668;44021745;72856627;11458319;74226213;2178944;767488;60228806;74911413;-8764613;68440404;18435187;63799667;-96273553;65506105;41774932;28342476
I'dl.MP3;14087757;6631061;9,38E+15;6,04E+15;[78.30255682];260;2,36E+16;8,76E+15;5,33E+15;-11435299;107255585;89139046;30336435;17027407;17506933;2273801;14238852;76362486;12148209;698178;11147631;-12534859;10237068;-15921471;9862007;-9117084;905836;14969319;7751399;-63321066;75908875;26764742;76727047;-31724544;72125773;3270489;29201287
lenka - live like you're dying.mp3;22164623;790095;7,50E+15;4,32E+15;[129.19921875];477;1,88E+16;7,57E+15;3,91E+16;-7810241;94454834;11129902;33408688;-19296091;22012945;26375828;14901008;50865965;10738892;24159606;1171357;4830444;9691743;71546316;10665053;1543141;79665084;-16063143;8593823;-23391812;7614987;-9011776;7569479;-62440734;849411;31835487;29601613
Briptu Norman - Cinta Cinta.mp3;1365328;6747412;9,66E+15;4,84E+16;[92.28515625];368;2,10E+16;6,00E+15;4,45E+15;-11068446;10464279;99858;28702393;-9464704;2322268;22434765;18704704;59432274;1605587;9695758;10619685;-6727269;10414539;8060035;10199447;-64580274;10100393;36121774;9120566;14868404;8563503;10088638;8130025;-1396167;73996286;3731166;29781678
The Rock ft Ahmad Dhani-Munajat Cinta.mp3;22895876;8968801;8,30E+15;3,72E+15;[151.99908088];403;1,93E+15;5,49E+15;4,03E+16;-625755;8976554;9902868;24981867;-1635659;16349737;4503494;1489453;14030563;9375668;14367869;9477515;10075235;71935;13178902;7537934;12579321;7138101;9377994;8038242;-14302633;74242835;38416793;69979696;-6762234;63633695;3973152;29227176
