filename;rms_mean;rms_std;zcr_mean;zcr_std;tempo;n_beats;spectral_centroid_mean;spectral_centroid_std;spectral_rolloff_mean;mfcc_1_mean;mfcc_1_std;mfcc_2_mean;mfcc_2_std;mfcc_3_mean;mfcc_3_std;mfcc_4_mean;mfcc_4_std;mfcc_5_mean;mfcc_5_std;mfcc_6_mean;mfcc_6_std;mfcc_7_mean;mfcc_7_std;mfcc_8_mean;mfcc_8_std;mfcc_9_mean;mfcc_9_std;mfcc_10_mean;mfcc_10_std;mfcc_11_mean;mfcc_11_std;mfcc_12_mean;mfcc_12_std;mfcc_13_mean;mfcc_13_std;chroma_stft_mean;chroma_stft_std
The Cranberries - Zombie (Lost Sky Remix) my-free-mp3s.com .mp3;265556;14563079;1,23E+16;8,67E+15;[89.10290948];373;2,68E+15;1,00E+16;5,88E+16;-26072964;8935575;8580856;37313667;25274565;20335619;14855056;12746826;6668533;11767974;18392918;10903103;-17268915;9682979;36972303;8876235;-9020039;10372571;4880679;8990238;-63916903;10766961;-6324068;8001768;-56444917;7743996;39632234;29640654
The Elite feat. Bram Boenders – Toss A Coin To Your Witcher (Extended Mix).mp3;27597734;12909451;1,16E+16;6,58E+15;[151.99908088];706;2,79E+15;8,77E+14;6,11E+15;-1909666;103284935;74489136;2918854;53949895;16846401;18721926;14546981;4076149;1277173;8054452;939244;-899023;9951664;8274401;7905744;-14246593;8782703;33394232;8345685;-1238892;8202369;38203917;9406356;10128504;7915795;43783692;29776293
The FifthGuys - Wait (B2A & Anklebreaker Remix).mp3;25714526;14693694;1,22E+16;6,73E+15;[151.99908088];553;2,79E+15;8,00E+15;6,14E+15;-23917824;10665199;7779572;28396719;4031727;18586905;16268637;15520889;13562831;12324564;-6083747;9861667;93631226;8983543;-8049239;9223514;-16714123;78878393;-200415;6812374;-5785714;7887763;18581289;6312848;-30598724;70705233;36908486;2888526
The Glitch Mob - Rise (feat. Mako   The Word Alive).mp3;28290737;12012857;9,78E+15;7,01E+15;[89.10290948];266;2,59E+15;9,32E+15;5,74E+15;-35205883;10607329;7993274;34027794;10117606;24730011;21548712;18035475;6280264;12768727;14909561;10016588;-32679522;10659998;8018825;8687914;14544096;8266598;4103639;8173655;-3083069;69208646;34451814;7148847;-14974054;67877145;42089516;29530168
The Kid Laroi - Stay (Colin Hennerz Remix) (320 kbps).mp3;34527525;119563885;9,82E+15;6,75E+15;[172.265625];578;2,87E+15;8,89E+15;6,41E+15;-13031665;6400984;6721426;29606066;105621395;2115772;17616077;1547491;37162035;13299182;9147268;13220176;33536334;11554075;8920223;9941766;-14537495;10349194;8512259;9415203;9996042;9536423;4017135;8594471;10308434;81306305;4646386;29911974
The Kid LAROI x Justin Bieber - Stay (Tatsunoshin Remix) (320 kbps).mp3;31108063;1296895;1,17E+16;6,35E+15;[172.265625];511;2,98E+16;7,83E+15;6,63E+15;-37682443;799467;6678822;2784285;-7847941;19243929;7708461;15915491;38669522;1334848;90205765;11684597;22424831;105549965;1008048;9487885;-7174705;986372;70007515;91101055;21513672;9885564;6359069;9482352;23281806;854595;4281668;2906825
The Kid LAROI, Justin Bieber - Stay (Remix) ft. Juice WRLD (320 kbps).mp3;3277924;11034907;1,05E+16;7,26E+14;[172.265625];631;2,43E+16;1,01E+16;5,19E+15;-25135748;6524599;8968994;4222527;-7598203;2158321;12100294;20990261;21641767;16740623;371426;16409885;49872033;13941931;35404985;12549814;-5176551;12015774;5565425;12165956;-8794424;11423359;-9205224;9363579;-17547662;9014973;33997902;3034151
The Kid LAROI, Justin Bieber - STAY (Sound Rush Remix) (320 kbps).mp3;28757772;12616114;1,40E+16;6,84E+15;[103.359375];253;3,09E+15;6,89E+15;6,58E+15;1436791;7878783;6568116;28065666;-67103567;18810717;9138692;12949972;-43675766;10977302;54501886;9728236;-5131267;8090488;613169;74828706;55983704;8254467;74425006;7007533;11031201;722092;3709382;72814555;59710854;7468245;41819036;28327438
The Pitcher & Noisecontrollers - Shut Up (Jay Reeve Remix) my-free-mp3s.com .mp3;32157668;14782384;1,08E+16;6,08E+15;[151.99908088];443;2,73E+15;7,55E+15;6,04E+15;108009;9470267;7880929;27364119;17596993;2140376;13358802;14397202;-10933604;941189;30314436;12170791;36603144;8054847;74663634;79775534;9972259;8317752;61401567;77218504;-13126663;8244562;3406345;878368;14429443;76980276;4357661;29361314
The Pitcher - Collide.mp3;267617;13944897;1,05E+16;5,47E+16;[151.99908088];453;2,60E+15;7,92E+15;5,58E+15;-38660057;10286483;7874413;29379435;-6037607;24077429;17626728;19576391;-7513353;1705041;-22890074;1943619;63067895;13012817;-4000834;17341806;-17102932;11660683;4438145;10137032;-6393119;1300417;22770977;8484432;1331544;980531;3675394;3039361
